double_LSTM,sequence_size,epoches,batch_size,trainScoreMAE,trainScoreMSE,trainScoreRMSE,testScoreMAE,testScoreMSE,testScoreRMSE,start_time,end_time
FALSE,10,9,32,120.2774565,14466.66655,120.2774565,215.7238222,46536.76747,215.7238222,1.68E+12,1.68E+12
FALSE,10,9,32,384.5919097,147910.937,384.5919097,10.45966206,109.4045305,10.45966206,1.68E+12,1.68E+12
FALSE,10,9,64,1990.333609,3961427.875,1990.333609,66.98895894,4487.52062,66.98895894,1.68E+12,1.68E+12
FALSE,10,9,64,1254.16271,1572924.104,1254.16271,177.0416933,31343.76117,177.0416933,1.68E+12,1.68E+12
FALSE,10,9,64,2124.923453,4515299.68,2124.923453,110.1843809,12140.5978,110.1843809,1.68E+12,1.68E+12
FALSE,10,9,64,1440.959585,2076364.527,1440.959585,119.6271425,14310.65323,119.6271425,1.68E+12,1.68E+12
FALSE,10,9,64,2216.531363,4913011.282,2216.531363,133.5485292,17835.20966,133.5485292,1.68E+12,1.68E+12
FALSE,10,10,16,177.0518706,31347.36488,177.0518706,67.67352925,4579.706561,67.67352925,1.68E+12,1.68E+12
FALSE,10,10,16,327.6988433,107386.5319,327.6988433,42.68915425,1822.363891,42.68915425,1.68E+12,1.68E+12
FALSE,10,10,16,400.4805815,160384.6962,400.4805815,60.21600972,3625.967826,60.21600972,1.68E+12,1.68E+12
FALSE,10,10,16,236.0591948,55723.94346,236.0591948,114.8122011,13181.84153,114.8122011,1.68E+12,1.68E+12
FALSE,10,10,16,57.47472216,3303.343687,57.47472216,82.42070903,6793.173277,82.42070903,1.68E+12,1.68E+12
FALSE,10,10,32,129.7486479,16834.71164,129.7486479,2.191107375,4.800951529,2.191107375,1.68E+12,1.68E+12
FALSE,10,10,32,405.7442534,164628.3992,405.7442534,157.860541,24919.95039,157.860541,1.68E+12,1.68E+12
FALSE,10,10,32,57.19959425,3271.793582,57.19959425,31.51386128,993.1234529,31.51386128,1.68E+12,1.68E+12
FALSE,10,10,32,116.5396636,13581.49318,116.5396636,131.8029238,17372.01072,131.8029238,1.68E+12,1.68E+12
FALSE,10,10,32,155.7911284,24270.87569,155.7911284,120.0040957,14400.98297,120.0040957,1.68E+12,1.68E+12
FALSE,10,10,64,1242.422476,1543613.609,1242.422476,84.39130269,7121.891969,84.39130269,1.68E+12,1.68E+12
FALSE,10,10,64,611.9527495,374486.1676,611.9527495,190.2023378,36176.92932,190.2023378,1.68E+12,1.68E+12
FALSE,10,10,64,703.6158354,495075.2439,703.6158354,139.0709902,19340.74031,139.0709902,1.68E+12,1.68E+12
FALSE,10,10,64,1325.761343,1757643.139,1325.761343,112.6051699,12679.92428,112.6051699,1.68E+12,1.68E+12
FALSE,10,10,64,905.7838042,820444.2999,905.7838042,151.5783144,22975.9854,151.5783144,1.68E+12,1.68E+12
FALSE,15,5,16,227.0617041,51557.01745,227.0617041,240.69324,57933.2358,240.69324,1.68E+12,1.68E+12
FALSE,15,5,16,160.1492334,25647.77697,160.1492334,69.71008028,4859.495293,69.71008028,1.68E+12,1.68E+12
FALSE,15,5,16,240.7468897,57959.06489,240.7468897,12.80700956,164.0194939,12.80700956,1.68E+12,1.68E+12
FALSE,15,5,16,96.18865719,9252.257772,96.18865719,194.2152127,37719.54884,194.2152127,1.68E+12,1.68E+12
FALSE,15,5,16,1.5294775,2.339301423,1.5294775,61.18445097,3743.53704,61.18445097,1.68E+12,1.68E+12
FALSE,15,5,32,641.8728662,412000.7764,641.8728662,46.20495878,2134.898216,46.20495878,1.68E+12,1.68E+12
FALSE,15,5,32,651.8816553,424949.6925,651.8816553,74.16027559,5499.746476,74.16027559,1.68E+12,1.68E+12
FALSE,15,5,32,152.43146,23235.35,152.43146,12.65148653,160.0601115,12.65148653,1.68E+12,1.68E+12
FALSE,15,5,32,628.4812647,394988.7001,628.4812647,130.7987088,17108.30222,130.7987088,1.68E+12,1.68E+12
FALSE,15,5,32,666.1287256,443727.4791,666.1287256,71.72131075,5143.946416,71.72131075,1.68E+12,1.68E+12
FALSE,15,5,64,463.1867041,214541.9228,463.1867041,79.15441622,6265.421607,79.15441622,1.68E+12,1.68E+12
FALSE,15,5,64,134.2189306,18014.72134,134.2189306,151.5386936,22963.97565,151.5386936,1.68E+12,1.68E+12
FALSE,15,5,64,1023.624204,1047806.511,1023.624204,347.8758572,121017.612,347.8758572,1.68E+12,1.68E+12
FALSE,15,5,64,677.7902197,459399.5819,677.7902197,427.3724392,182647.2018,427.3724392,1.68E+12,1.68E+12
FALSE,15,5,64,831.7443213,691798.6159,831.7443213,176.9549588,31313.05744,176.9549588,1.68E+12,1.68E+12
FALSE,15,6,16,8.602719688,74.00678602,8.602719688,20.53234591,421.5772284,20.53234591,1.68E+12,1.68E+12
FALSE,15,6,16,106.25604,11290.34604,106.25604,90.26134981,8147.11127,90.26134981,1.68E+12,1.68E+12
FALSE,15,6,16,93.63849125,8768.167044,93.63849125,67.14831816,4508.896631,67.14831816,1.68E+12,1.68E+12
FALSE,15,6,16,77.91095219,6070.116471,77.91095219,7.180295125,51.55663808,7.180295125,1.68E+12,1.68E+12
FALSE,15,6,16,203.0089697,41212.64177,203.0089697,39.69324003,1575.553304,39.69324003,1.68E+12,1.68E+12
FALSE,15,6,32,234.0545069,54781.51219,234.0545069,106.0448025,11245.50014,106.0448025,1.68E+12,1.68E+12
FALSE,15,6,32,684.7488428,468880.9777,684.7488428,318.2449978,101279.8787,318.2449978,1.68E+12,1.68E+12
FALSE,15,6,32,2.668764687,7.122304957,2.668764687,110.0809353,12117.81233,110.0809353,1.68E+12,1.68E+12
